Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:26:23,2018-10-31 08:26:25,1.805s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:26:25,2018-10-31 08:26:25,0.262s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-10-31 08:26:25,2018-10-31 08:26:25,0.226s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:26:25,2018-10-31 08:26:26,0.208s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - LicenseHearings,Chrome 70.0.3538.77,,2018-10-31 08:26:26,2018-10-31 08:27:11,45.094s,FAILED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:26:26,2018-10-31 08:26:29,2.862s,PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-10-31 08:26:29,2018-10-31 08:26:39,10.535s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:26:39,2018-10-31 08:27:11,31.480s,FAILED
,,,,,,
Test Cases/Denvergov/Denvergov - RecyclingDirectory,Chrome 70.0.3538.77,,2018-10-31 08:27:11,2018-10-31 08:27:14,3.044s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:27:11,2018-10-31 08:27:13,2.024s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:27:13,2018-10-31 08:27:14,0.682s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:27:14,2018-10-31 08:27:14,0.089s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - DIAPayments,Chrome 70.0.3538.77,,2018-10-31 08:27:14,2018-10-31 08:27:16,2.104s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:27:14,2018-10-31 08:27:15,0.611s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:27:15,2018-10-31 08:27:15,0.100s,PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-10-31 08:27:15,2018-10-31 08:27:15,0.574s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:27:15,2018-10-31 08:27:16,0.598s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - InmateSearch,Chrome 70.0.3538.77,,2018-10-31 08:27:16,2018-10-31 08:27:18,1.834s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:27:16,2018-10-31 08:27:17,0.741s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:27:17,2018-10-31 08:27:17,0.155s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:27:17,2018-10-31 08:27:17,0.114s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:27:17,2018-10-31 08:27:18,0.604s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - CouncilBills,Chrome 70.0.3538.77,,2018-10-31 08:27:18,2018-10-31 08:27:37,19.178s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:27:18,2018-10-31 08:27:24,5.704s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:27:24,2018-10-31 08:27:31,7.397s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:27:31,2018-10-31 08:27:31,0.120s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:27:31,2018-10-31 08:27:37,5.729s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - VoterRegistration,Chrome 70.0.3538.77,,2018-10-31 08:27:37,2018-10-31 08:27:38,1.332s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:27:37,2018-10-31 08:27:38,1.077s,PASSED
Statement - titleWindow = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 70.0.3538.77,,2018-10-31 08:27:38,2018-10-31 08:27:38,0.026s,PASSED
verifyMatch,Chrome 70.0.3538.77,,2018-10-31 08:27:38,2018-10-31 08:27:38,0.014s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - ParkCitations,Chrome 70.0.3538.77,,2018-10-31 08:27:38,2018-10-31 08:27:40,2.142s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:27:38,2018-10-31 08:27:40,1.814s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:27:40,2018-10-31 08:27:40,0.104s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - CSAHearingsMediation,Chrome 70.0.3538.77,,2018-10-31 08:27:40,2018-10-31 08:27:42,1.248s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:27:41,2018-10-31 08:27:42,1.021s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - WaitlistEL,Chrome 70.0.3538.77,,2018-10-31 08:27:42,2018-10-31 08:27:44,1.973s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:27:42,2018-10-31 08:27:43,1.569s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:27:43,2018-10-31 08:27:43,0.099s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:27:43,2018-10-31 08:27:44,0.102s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - ElectionResults,Chrome 70.0.3538.77,,2018-10-31 08:27:44,2018-10-31 08:27:46,2.093s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:27:44,2018-10-31 08:27:45,0.769s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:27:45,2018-10-31 08:27:46,0.978s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - PoliceRecords,Chrome 70.0.3538.77,,2018-10-31 08:27:46,2018-10-31 08:27:48,2.665s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:27:46,2018-10-31 08:27:47,0.714s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:27:47,2018-10-31 08:27:48,1.748s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - ArtsVenues-AdvancedDeposit,Chrome 70.0.3538.77,Verify you can get to page and interact with an element,2018-10-31 08:27:48,2018-10-31 08:28:21,32.596s,FAILED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:27:49,2018-10-31 08:27:49,0.582s,PASSED
switchToFrame,Chrome 70.0.3538.77,,2018-10-31 08:27:49,2018-10-31 08:27:49,0.062s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:27:49,2018-10-31 08:28:21,31.722s,FAILED
,,,,,,
Test Cases/Denvergov/Denvergov - eForclosure,Chrome 70.0.3538.77,,2018-10-31 08:28:21,2018-10-31 08:28:22,1.164s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:28:21,2018-10-31 08:28:22,0.823s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:28:22,2018-10-31 08:28:22,0.109s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - ElectionArchive,Chrome 70.0.3538.77,,2018-10-31 08:28:22,2018-10-31 08:28:23,1.042s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:28:22,2018-10-31 08:28:23,0.792s,PASSED
getWindowTitle,Chrome 70.0.3538.77,,2018-10-31 08:28:23,2018-10-31 08:28:23,0.044s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - BuldingPermitStatus,Chrome 70.0.3538.77,,2018-10-31 08:28:23,2018-10-31 08:28:25,1.464s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:28:23,2018-10-31 08:28:24,0.372s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:28:24,2018-10-31 08:28:24,0.183s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:28:24,2018-10-31 08:28:24,0.100s,PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-31 08:28:24,2018-10-31 08:28:25,0.581s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - TieBookSearch,Chrome 70.0.3538.77,,2018-10-31 08:28:25,2018-10-31 08:28:30,5.582s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:28:25,2018-10-31 08:28:27,1.800s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:28:27,2018-10-31 08:28:27,0.170s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:28:27,2018-10-31 08:28:27,0.131s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:28:27,2018-10-31 08:28:30,3.158s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:28:30,2018-10-31 08:28:30,0.101s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - PoliceClasses,Chrome 70.0.3538.77,,2018-10-31 08:28:30,2018-10-31 08:28:31,0.621s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:28:30,2018-10-31 08:28:31,0.132s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:28:31,2018-10-31 08:28:31,0.174s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 08:28:31,2018-10-31 08:28:31,0.094s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - Waitlist,Chrome 70.0.3538.77,,2018-10-31 08:28:31,2018-10-31 08:28:33,2.234s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:28:31,2018-10-31 08:28:33,1.981s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 70.0.3538.77,,2018-10-31 08:28:33,2018-10-31 08:28:33,0.037s,PASSED
verifyMatch,Chrome 70.0.3538.77,,2018-10-31 08:28:33,2018-10-31 08:28:33,0.001s,PASSED
,,,,,,
Test Cases/Denvergov/Denvergov - CompostSignup,Chrome 70.0.3538.77,,2018-10-31 08:28:33,2018-10-31 08:29:18,45.028s,FAILED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 08:28:33,2018-10-31 08:28:34,0.750s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 08:28:34,2018-10-31 08:28:35,0.676s,PASSED
